title,date,index,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
Israel announces new settlement homes in the West Bank | Fox News,2021-01-11 08:31:00,0.0,0.0525706441043631,0.1853921115398407,0.07782671340790234,0.035131351268805025,0,0,0,0
Israeli PM Netanyahu pleads not guilty to corruption charges as trial ...,2021-02-08 09:39:00,1.0,0.46315678931703724,0.1415371766348404,0.09900973455687226,-0.014614270612404865,0,0,0,0
"Biden, Israeli PM Netanyahu have 'warm and friendly' talk | Fox News",2021-02-17 16:27:00,2.0,0.015158340334892273,0.76301376024882,0.22182791928450266,0.288900329007638,0,0,0,0
Psaki says Biden will speak with Netanyahu 'soon' after 3 weeks ...,2021-02-16 14:08:00,3.0,0.2018359811604023,0.4496760368347168,0.10848798742517829,0.014074930879314971,0,0,0,0
Israel's Netanyahu blames Iran for cargo ship attack | Fox News,2021-03-01 11:42:00,4.0,0.06603916268795729,0.19991377962287515,0.015297061778255738,-0.02105600115666154,0,0,0,0
Israel's Netanyahu sends condolences to Rush Limbaugh's family ...,2021-02-18 13:19:00,5.0,0.002432416060141155,0.057918740170342584,0.01107741573027202,0.01384250471178786,0,0,0,0
White House declines to say whether Israel is an 'important' ally ...,2021-02-12 21:33:00,6.0,0.02572347264846458,0.33488595135071697,0.05115527306299876,0.03634089899118573,0,0,0,0
Israel's New Hope party to review ties with Lincoln Project | Fox News,2021-02-16 10:12:00,7.0,0.3690942774216334,0.2729656527129312,0.024606735445559025,-0.15408151960401442,0,0,0,0
Netanyahu slams 'outrageous' anti-Semitic joke by 'SNL' star ...,2021-03-04 10:24:00,8.0,0.05614057028045257,0.24385726431177723,0.0888910574786779,0.057600691494074555,0,0,0,0
Kamala Harris speaks with Netanyahu in latest talk with a major ...,2021-03-04 19:27:00,9.0,0.07754320314981872,0.3490154676967197,0.12899688921040958,0.0601269250251807,0,0,0,0
Israel voting in elections as Netanyahu's fate is in the air | Fox News,2021-03-23 14:05:00,10.0,0.21345905647291963,0.17071920931981555,0.09858035478050467,-0.008256520093439686,0,0,0,0
Israeli president picks Netanyahu to try and form government | Fox ...,2021-04-06 08:56:00,11.0,0.4732162611559033,0.14704910435248167,0.12973462759982796,-0.03474533140256432,0,0,0,0
Netanyahu brushes off Biden call for 'significant de-escalation' in ...,2021-05-19 12:19:00,12.0,0.09136725364830987,0.027723568796726137,0.018840213627393902,0.0027084481891566526,0,0,0,0
"Netanyahu says Israel wants to 'degrade' Hamas' will, warns ...",2021-05-16 12:59:00,13.0,0.1395466235356734,0.428164642139831,0.1381710848004064,0.0719787879974547,0,0,0,0
"Biden calls Netanyahu, says Israel 'has right to defend itself' against ...",2021-05-12 19:35:00,14.0,0.003505718343975869,0.10625724539612279,0.011449157796574362,0.01234475293991782,0,0,0,0
"Netanyahu, in front of Blinken, says US should stay away from Iran ...",2021-05-25 09:11:00,15.0,0.07025815756922518,0.2655789885256026,0.1456443366629106,0.041868238172593206,0,0,0,0
Israel Prime Minister Netanyahu fires back at coalition effort to oust ...,2021-05-30 14:59:00,16.0,0.22413791419768875,0.1808792453428561,0.1404374020639807,0.012738164573789039,0,0,0,0
Netanyahu calls state of emergency after violent clashes in Lod | Fox ...,2021-05-11 21:03:00,17.0,0.005752811638208536,0.0636293521294227,0.007540910862959349,0.0029567080847997555,0,0,0,0
Netanyahu adviser Mark Regev says Hamas should 'think twice ...,2021-05-23 09:18:00,18.0,0.04000672606052831,0.22609636234119534,0.08389691004995256,0.05762046461725118,0,0,0,0
Israeli airstrike kills top Hamas commander as Netanyahu vows 'iron ...,2021-05-12 12:19:00,19.0,0.0027135703289373355,0.060902029275894165,0.027293491769920696,0.031028654396003608,0,0,0,0
"LIVE UPDATES: Israeli strike takes out top Hamas terrorist, Biden ...",2021-05-12 21:06:00,20.0,0.09965896606445312,0.11126662790775299,0.03907442465424538,-0.053107115009110153,0,0,0,0
Michael Goodwin: Israel vs. Hamas â€“ Biden should let Netanyahu ...,2021-05-17 08:00:00,21.0,0.01559835120483681,0.0018757616204244118,0.0010444064521127278,-0.0029237087450493687,0,0,0,0
"Israel, Netanyahu continue to defy Biden with airstrikes amid more ...",2021-05-20 08:43:00,22.0,0.1336886177563833,0.1065557108183081,0.037533442593283124,0.008816409370536182,0,0,0,0
Netanyahu touts Hamas commanders killed in strikes: 'blood is on ...,2021-05-11 21:53:00,23.0,0.01153654235531576,0.47490327060222626,0.01356019196100533,0.004061310168156137,0,0,0,0
Netanyahu calls out the AP after claiming they weren't warned about ...,2021-05-16 17:03:00,24.0,0.05215227266862279,0.15225388890221006,0.033689071025167196,-0.01355552833526877,0,0,0,0
Blinken reaffirms US commitment to Israel's security during joint ...,2021-05-25 03:17:00,25.0,0.013917746697552502,0.2967810846865177,0.2393011661246419,0.1715123700610115,0,0,0,0
"LIVE UPDATES: Biden speaks with Abbas, Netanyahu as Israel ...",2021-05-15 16:51:00,26.0,0.02998285461217165,0.18532847613096237,0.03468867111951113,0.00969497441016175,0,0,0,0
LIVE UPDATES: Israel's Netanyahu warns Hamas against firing ...,2021-05-21 13:51:00,27.0,0.07147352929626193,0.3053128549030849,0.05178503851805415,-0.012160716470530334,0,0,0,0
"LIVE UPDATES: Israel's Netanyahu says Hamas, terrorist groups ...",2021-05-14 17:28:00,28.0,0.04575703623281284,0.33134134249253705,0.0774470775980841,-0.015451533006765984,0,0,0,0
Israel officials approve cease-fire with Hamas following 11 days of ...,2021-05-20 16:13:00,29.0,0.031192603210608166,0.11342397332191467,0.05538341949383418,0.012779133823310381,0,0,0,0
LIVE UPDATES: Israel 'determined to continue' operation against ...,2021-05-19 12:50:00,30.0,0.0937058734042304,0.2870327489716666,0.04783280247024128,-0.04362304338153211,0,0,0,0
"LIVE UPDATES: Antony Blinken arrives in Israel, begins Middle East ...",2021-05-25 12:50:00,31.0,0.003661319799721241,0.1502871572971344,0.0460515309125185,0.048933274342824434,0,0,0,0
"Blinken announces additional US assistance to Palestinians, says ...",2021-05-25 15:13:00,32.0,0.05731969724098841,0.09162899851799011,0.05105131094654401,0.01776573442301605,0,0,0,0
Bernie Sanders calls Hamas a 'terrorist group' but says Israeli ...,2021-05-23 12:00:00,33.0,0.04139359859335753,0.17987401597201824,0.04539904962811205,0.025760651880881186,0,0,0,0
'Special Report' All-Star panel on Biden pressuring Israel to de ...,2021-05-20 14:15:00,34.0,0.02333890584086861,0.035145835243428764,0.012186637030611664,6.324779289222634e-05,0,0,0,0
Israel blasts Bella Hadid for joining pro-Palestinian march | Fox News,2021-05-16 19:43:00,35.0,0.007809656361738841,0.04146432545449999,0.006281571669711007,-0.002279715167053118,0,0,0,0
Senior adviser to Israeli prime minister optimistic that cease-fire will ...,2021-05-23 12:23:00,36.0,0.08405603389845001,0.22690918080615013,0.07613156268791418,0.024138498734421105,0,0,0,0
LIVE UPDATES: Israel approves cease-fire agreement with Hamas ...,2021-05-20 17:27:00,37.0,0.012942856922745705,0.3369743347167969,0.05008281171321869,0.06207549222859525,0,0,0,0
"LIVE UPDATES: 2 killed in Israel from Gaza rocket strike, while West ...",2021-05-18 11:19:00,38.0,0.0,0.0,0.0,0.0,0,0,0,0
"GOP resolution backs Israel's 'right to defend itself,' omits call for ...",2021-05-17 21:46:00,39.0,0.003985546137157239,0.04069704131076211,0.007948992283720719,0.006101859224684585,0,0,0,0
IDF spokesperson on rocket attacks: Iran had 'hands on involvement ...,2021-05-23 16:49:00,40.0,0.006085724934287693,0.033997535705566406,0.003395001849402552,-0.004194896087502141,0,0,0,0
Pro-Israel voices rip liberals who claim Israel defends itself too ...,2021-05-19 14:04:00,41.0,0.07301942684635934,0.10899377365907033,0.04020901733181543,0.02998729405417426,0,0,0,0
Mayim Bialik speaks out on Israeli-Palestinian conflict: 'Devastating ...,2021-05-12 20:44:00,42.0,0.0013923707107702892,0.022316409481896296,0.013328258638028745,0.013701746187815436,0,0,0,0
"Netanyahu tries to go 'scorched earth' in last speech, swipes at ...",2021-06-14 04:08:00,43.0,0.2569329524412751,0.4531716272234917,0.08989542312920093,-0.05591870108589874,0,0,0,0
"Netanyahu, facing ouster, claims his potential replacement can't ...",2021-06-04 05:26:00,44.0,0.3694598709877867,0.35358738268797213,0.046183541811142974,-0.08996993470380774,0,0,0,0
Netanyahu foes push for quick vote to end his 12-year rule | Fox News,2021-06-03 08:41:00,45.0,0.31227358896285295,0.3333961956202984,0.05433021407807246,-0.01913288766593722,0,0,0,0
"Netanyahu slams Iran nuclear deal possibility, willing to risk 'friction ...",2021-06-01 14:03:00,46.0,0.11214554607868195,0.3731936233739058,0.11466084364801646,0.0813856500833298,0,0,0,0
Israeli PM Netanyahu opponents say they have reached coalition ...,2021-06-02 16:52:00,47.0,0.28252777457237244,0.08798914717940184,0.014098466517260442,-0.05910266865914286,0,0,0,0
Israel's Netanyahu pledges 'we'll be back' as record 12-year run as ...,2021-06-13 14:04:00,48.0,0.21514029338812599,0.501395875444779,0.20654076133639768,0.057031274650327014,0,0,0,0
Who is Naftali Bennett? The man slated to replace Benjamin ...,2021-06-02 22:04:00,49.0,0.07420319698464412,0.2686119136902002,0.04180028332540622,0.022787792972492674,0,0,0,0
"Isaac Herzog elected Israel's president, following in father's ...",2021-06-02 10:40:00,50.0,0.11556718699060954,0.09926283130278954,0.015939215054878823,-0.02113466468337099,0,0,0,0
"Who is Naftali Bennett, Israel's new leader? | Fox News",2021-06-14 10:20:00,51.0,0.28843520434671327,0.1745675793407779,0.11594457561640363,-0.03224192895124327,0,0,0,0
"Biden congratulates Israel's incoming PM Naftali Bennett, vows ...",2021-06-13 16:00:00,52.0,0.19404717643787575,0.32253866422582755,0.07432325726205652,0.015162103106271967,0,0,0,0
Pentagon chief Austin to discuss Iran's 'malign' behavior with Israeli ...,2021-06-02 16:15:00,53.0,0.10280918604449223,0.08699685070467622,0.02072027531501494,-0.012208864795847893,0,0,0,0
"Ben & Jerry's slammed by Israeli PM, Netanyahu after announcing ...",2021-07-19 15:43:00,54.0,0.1582496273689545,0.2453443665917103,0.21179061411665037,-0.018927657013513864,0,0,0,0
Netanyahu appears in court as confidant prepares to testify against ...,2021-11-16 07:13:00,55.0,0.5351085249334574,0.3483816157095134,0.03650985591579228,-0.10030826334313518,0,0,0,0
Netanyahu responds to Trump's claim of disloyalty | Fox News,2021-12-12 05:59:00,56.0,0.12236453718505799,0.3593890973366797,0.3182463565375656,0.11455144280039642,0,0,0,0
Trump slams Netanyahu in curse-fueled interview for congratulating ...,2021-12-10 11:28:00,57.0,0.1730167517721977,0.10917844181961339,0.065630892139819,-0.006170365608885863,0,0,0,0
Iran nuclear talks: A breakdown of the Vienna negotiations | Fox News,2021-11-29 11:41:00,58.0,0.06636099805339024,0.11571412739845423,0.033309486196734586,0.012722988394582774,0,0,0,0
Netanyahu warns Iran could 'take the entire world hostage' if West ...,2022-03-20 08:00:00,59.0,0.032440463081002235,0.3443218283355236,0.06073770282091573,0.032668684923260284,0,0,0,0
"Israeli parliament's coalition chair resigns, opening door to new ...",2022-04-06 04:52:00,60.0,0.11152512734406628,0.20982645746941367,0.05364841560367495,-0.00703635917581102,0,0,0,0
Israel calls for new elections one month before Biden visit | Fox News,2022-06-20 14:41:00,61.0,0.1350626821037043,0.18746530761321387,0.13201745245323487,0.0025219465161928235,0,0,0,0
Biden shakes hands with Netanyahu after WH vowed he'd avoid the ...,2022-07-13 11:11:00,62.0,0.010201427408240059,0.15419371019710193,0.017423032359643417,0.011941722524816657,0,0,0,0
Israeli Prime Minister Bennett announces retirement from politics ...,2022-06-29 15:53:00,63.0,0.14013973369263114,0.38898761332035064,0.11087265346199274,0.014915303888618954,0,0,0,0
"Biden shakes hands with former Israeli PM, begins 'no handshake ...",2022-07-13 17:50:00,64.0,0.024662945685642108,0.10412035988909858,0.01407383382320404,-0.008929522327088536,0,0,0,0
"Israel's parliament dissolves, sets 5th election in 4 years | Fox News",2022-06-30 10:09:00,65.0,0.3179955905199879,0.24144087643879983,0.051674645549307265,-0.046927091555268925,0,0,0,0
Benjamin Netanyahu calls out 'Palestinian propaganda machine ...,2022-08-07 17:01:00,66.0,0.02520899592048448,0.35014526740364404,0.05942834018851104,0.0412475291736532,0,0,0,0
Netanyahu rips Biden over push to revive Iran nuclear deal: Middle ...,2022-08-24 11:47:00,67.0,0.025140695717363132,0.321232245081947,0.034579433500766754,0.008368176875316411,0,0,0,0
Global reaction to Trump raid muted as some Israelis draw ...,2022-08-09 16:56:00,68.0,0.041561647073218695,0.1111461833903664,0.005186906378520162,-0.02539839346933262,0,0,0,0
Former head of Mossad says group carried out ops in 'heart of Iran ...,2022-08-29 08:23:00,69.0,0.05699127905869058,0.15262622492653982,0.0046682049121175495,-0.020263021900173962,0,0,0,0
"Biden seems sympathetic to Israel, but policies on Iran, Palestinians ...",2022-10-16 08:00:00,70.0,0.15644041440614007,0.4202851767049116,0.07033324636080686,-0.01469722843100273,0,0,0,0
WATCH: Putin stands to reap benefits of Iran nuclear deal with US ...,2022-10-21 17:00:00,71.0,0.09085700860904421,0.4672184884548187,0.11839509114403934,0.031121132520519054,0,0,0,0
Israel's Netanyahu leaves hospital after overnight stay | Fox News,2022-10-06 12:33:00,72.0,0.261088484691249,0.2238427069452074,0.18173546551002395,-0.00652861986041528,0,0,0,0
Netanyahu rips Australia for 'absurd' decision on Israeli capital ...,2022-10-19 10:26:00,73.0,0.0345626181922853,0.18507933244109154,0.08035805486142636,0.026892269633191457,0,0,0,0
After claim that possible new Israel gov't will damage relations with ...,2022-10-09 08:00:00,74.0,0.15310850395606115,0.09214930551556441,0.062434500125117406,-0.03829087820552977,0,0,0,0
Benjamin Netanyahu warns against a new nuclear deal with Iran ...,2022-10-22 22:52:00,75.0,0.040938165473441285,0.35511506299177803,0.20394676594684522,0.10290337571878362,0,0,0,0
Israel announces maritime border deal with Lebanon | Fox News,2022-10-11 13:32:00,76.0,0.038838883103043946,0.06776274837277553,0.004509481653157208,0.0016929975464189313,0,0,0,0
Netanyahu victory in Israeli election presents 'stark challenge' for US ...,2022-11-03 15:34:00,77.0,0.1337635981850326,0.26550041474401953,0.20073597493271034,0.05171710022481708,0,0,0,0
Netanyahu looks set to return to power in Israel after fifth election ...,2022-11-02 12:08:00,78.0,0.12789203788270243,0.1653497698789579,0.39425819244934246,0.09509253031468634,0,0,0,0
Biden yet to call Netanyahu after election win despite calls to ...,2022-11-05 13:43:00,79.0,0.1724522068268723,0.28595931082963943,0.20825514373266035,0.025621848499299174,0,0,0,0
Israeli PM Lapid concedes election to Netanyahu | Fox News,2022-11-03 13:41:00,80.0,0.0422594107221812,0.3158804303301232,0.21328872695033038,0.08805347651645169,0,0,0,0
Netanyahu warns a 'pernicious' form of antisemitism more popular ...,2022-11-12 11:48:00,81.0,0.10584496819258978,0.341923286827902,0.052231754176318645,-0.02855457999319083,0,0,0,0
Netanyahu plots return as Israelis vote for new government | Fox News,2022-11-01 02:00:00,82.0,0.19663141716433608,0.21041924216906013,0.17990586277775708,0.0393134630867899,0,0,0,0
Israel election: Preliminary results show Netanyahu poised to return ...,2022-11-02 03:43:00,83.0,0.24101453360069441,0.2695482124297603,0.11105886725960551,0.008823947441695231,0,0,0,0
"Likud candidate predicts Netanyahu will be next Israeli PM, will help ...",2022-11-01 13:05:00,84.0,0.10137541675449986,0.41105419554208456,0.32967564267547506,0.13396659783481243,0,0,0,0
"Israel election: With divisions deepening, Israelis to decide if ...",2022-10-29 07:00:00,85.0,0.18569279674233663,0.2043367112055421,0.1933038074704301,0.01091294558615524,0,0,0,0
"WATCH: Bibi 'eye to eye' with Trump, 'diverged' with Obama on ...",2022-10-28 02:00:00,86.0,0.15486751676588836,0.43444927719732124,0.2162387556163594,0.0960227977251946,0,0,0,0
Sen. Cruz slams DOJ over investigation into journalist Shireen Abu ...,2022-11-15 19:54:00,87.0,0.08054736794560756,0.07016192111921937,0.0071854513187549615,-0.015306653873871222,0,0,0,0
Russia flew stolen Western cash and weapons to Iran: Report | Fox ...,2022-11-10 12:52:00,88.0,0.0025891282130032778,0.18084703013300896,0.004063837579451501,0.0028486284036516258,0,0,0,0
What is COP27? Here are 7 things to know about this global climate ...,2022-11-06 07:00:00,89.0,0.012757593765854836,0.04133076220750809,0.008411643095314503,-0.0057317363701661385,0,0,0,0
"Trump calls for Senate Republican leadership change, warns ...",2022-11-08 21:46:00,90.0,0.01323364962799809,0.015539832651997224,0.009688054712919088,0.007772091708021056,0,0,0,0
Incoming Israeli Prime Minister Benjamin Netanyahu seeks to build ...,2022-12-07 14:39:00,91.0,0.11022654886667928,0.3374181477973858,0.28568863378216824,0.07664483753819269,0,0,0,0
Larry Kudlow: Former Israel Prime Minister Benjamin Netanyahu ...,2022-12-06 18:11:00,92.0,0.08950614356435835,0.2649389557540417,0.19555490082129837,0.037699700837219484,0,0,0,0
Incoming Israeli Prime Minister Netanyahu says he has formed new ...,2022-12-21 20:34:00,93.0,0.08639987115748227,0.36446782692025104,0.2824656336878737,0.14897606319340662,0,0,0,0
Netanyahu: Iran nuclear deal is 'probably dead'; protests reveal that ...,2022-11-30 12:00:00,94.0,0.11493927045321127,0.40715241880279107,0.11941774288315396,0.039424766142279875,0,0,0,0
Netanyahu insists he won't step on 'landmine' question about Trump ...,2022-12-04 15:14:00,95.0,0.20311697424509592,0.3566005521363789,0.11770183043253998,-0.01840411898352999,0,0,0,0
Are progressives demonizing incoming Israeli Prime Minister ...,2022-12-10 07:00:00,96.0,0.061270911053244795,0.06528060187427502,0.04325980611391506,0.008920597611832535,0,0,0,0
Benjamin Netanyahu lays out agenda for third term: Stop Iranian ...,2022-12-16 10:00:00,97.0,0.05324938634617461,0.3918887914882766,0.22152848479648432,0.17325796733702442,0,0,0,0
Netanyahu shreds New York Times for 'demonizing Israel for ...,2022-12-19 17:45:00,98.0,0.39466616640297264,0.24921637673217517,0.04842515067698864,-0.06159054710734816,0,0,0,0
FBI investigating an unusual suspect: Israel | Fox News,2022-12-09 14:46:00,99.0,0.022280911294122536,0.05369464432199796,0.007357779269417127,-0.009309850809422019,0,0,0,0
